topo_num,mean,min,p25,p50,p75,p95,p99,p99.9,p99.99,p99.999
11,0.5447148990428593,0.9171298133168658,0.5441646404369961,0.4383435008227258,0.465398984865882,0.4371844807882642,0.40992973087254,0.3442252962865648,0.2260628564392416,0.0486075479277344
12,0.1965885875674499,0.9708112524649656,0.6195931665573622,0.440517782765336,0.2466776934927177,0.1308992664595184,0.1138802739051741,0.114207692461026,0.1143195540244084,0.0936598224665322
13,0.957689626970976,0.9831381227216708,0.9814502334275462,0.9599997678634596,0.9330513091233716,0.8747171305848124,0.8198900455780262,0.729609269143821,0.629706251593756,0.5217706726271173
14,0.8944107876783427,0.9878616972616712,0.8824271604299136,0.8708896127596933,0.8731755874968752,0.8458003976446765,0.7128032344144177,0.5247036593865941,0.3386348789044542,0.0988425521155696
15,0.3866025230008004,0.9081544141396822,0.5263503107106176,0.3716383973665321,0.2333408629770793,0.2715542801790002,0.2369079165300203,0.1997866540956959,0.1851484431483352,0.2273779024658326
16,0.9342605272613944,0.9790011038267232,0.970471257914777,0.9648005501460472,0.955291370208083,0.9400219530369338,0.9227263240735823,0.8880823336059802,0.5636582418426096,0.498335743148867
17,0.9631375715546396,0.9799176654313916,0.9491347307984036,0.9543440169272718,0.96204184183207,0.9493647812310986,0.9221256332671514,0.8689807159910177,0.7956868773497231,0.6788785212808829
18,0.5815553368614496,0.8868914302325033,0.5441660559270728,0.532199826122294,0.6480880791700165,0.4905649589564538,0.4560005073965428,0.3769941014933027,0.2912428362098216,0.1699282007947492
19,0.736631249949361,,,,0.7640065013606445,0.6187445789023615,0.661556402092605,0.5902723869422661,0.4852468087175769,0.3818947714406769
20,0.3092845816911141,0.405683623825211,0.2912956572550774,0.3079699704287755,0.2981411152491304,0.3132225985046519,0.3446376922749876,0.3745712947699154,0.3929050948205431,0.3082008485622923
21,0.9299832866607436,0.978452724748877,0.9352785765574811,0.9233618911326826,0.9280436656064974,0.8915447644052358,0.8644365344513193,0.8209039774832856,0.4815212274031524,0.6324476116023416
22,0.4761873416432272,0.9746318359229332,0.42426224944261,0.4656693425578621,0.51578277346213,0.4606423583300838,0.4138576284086974,0.3611836550214987,0.3059524691938758,0.2411911871059215
23,0.9375718576215608,0.9838575997230196,0.9032630993517544,0.896130221191868,0.9395896438907212,0.917532030197782,0.8620765639659738,0.8096420823708702,0.7354745851603982,0.6236646016601558
24,0.9613779758411256,0.984342107230014,0.9665435291074136,0.95573580663608,0.9500443291590098,0.9445502206965564,0.9405995190653084,0.9115068000500234,0.8685220147533671,0.674484344798175
25,0.7925877715977531,0.9268725650820536,0.829702307358242,0.7785296446830988,0.7444483885477159,0.6682760211013421,0.6549424099105972,0.6122512461220481,0.5412196963276872,0.4436083782168642
26,0.9407000884194652,0.9688459938754858,0.9454402247467636,0.938378358960256,0.9290147909273394,0.9047191653132268,0.870550640214676,0.8056192939518045,0.7571723446922457,0.5387098223558853
27,0.9402568464489208,0.9760335215970506,0.92577198131176,0.9258380453944844,0.9265176778623334,0.8628021417242661,0.7995354029160539,0.7235571696857577,0.63227483702757,0.5175586801995011
28,0.5512483892901039,0.987090883522676,0.7670563726368745,0.6117727585623969,0.4895172859668024,0.1453679935713592,0.0050625260363437,0.1194493588467806,0.1768472926413189,0.2207875551540214
29,0.3479356792141104,0.9395409718890572,0.2384546601285929,0.1370775433722483,0.2001950183082467,0.2861982285070806,0.3579646324459932,0.509056065679426,0.520180792800115,0.5068350949830288
30,0.7200371108342439,1.5348480963119132e-15,3.4841197664992533e-16,0.6314052992829425,0.67048365781937,0.5922299192773609,0.6255473408476363,0.6293214421803387,0.6158868473840112,0.7028617916447343
31,0.8455535181019282,0.9689033749829776,0.8415605315873409,0.834870355061402,0.8318350474665361,0.7645545180831268,0.6501638239022361,0.5860230515994623,0.4956319875618461,0.0206825457730575
32,0.5650420063049248,,,,0.5805288358455727,0.2122524285507779,0.031578704621101,0.1075759349223596,0.2733846918110316,0.410279796405738
34,0.0810920929660907,0.8043660058504452,0.0340439060487938,0.0710630824304213,0.1129333200093011,0.1678671193528204,0.171887454869212,0.1860055838479763,0.1669264549317873,0.155453776881487
35,0.918769551247561,0.983136231640586,0.9569589465237752,0.937990368094553,0.8699096446066897,0.7873092731138621,0.7474234604024544,0.7030878565891653,0.2893164521582666,0.1094154449558597
36,0.9004752665659439,0.9590466734700274,0.9235201966474564,0.8985407225456276,0.8651899495421718,0.7927351669901355,0.8053716158075532,0.6008315700535185,0.5388804465670282,0.4249143517123922
37,0.913955802468452,1.4195620842818865e-15,2.9059130664873883e-16,5.345893367069692e-16,0.8832844800842609,0.8258128543626512,0.6732127660503784,0.4784087073845813,0.3420031380459983,0.2529194854601391
38,0.9139655426842852,0.9705576757375204,0.9301504726347206,0.907311258512804,0.8884721525361213,0.8498301755103257,0.798150220478445,0.7533083499355441,0.6979601958985313,0.6186588314093973
39,0.8573668952735239,0.9715399550094972,0.8954547369142616,0.826057125312498,0.7903638933090539,0.7844830822246964,0.8625243305071603,0.8353700973118564,0.8139230836917606,0.7307757731834262
40,0.8569021273558673,0.96504409217404,0.8659054341889827,0.83174720653884,0.836955395484635,0.7991054781338957,0.7547145787217808,0.6986730608033621,0.6136915817161557,0.5427929520907203
41,0.6755785003753257,0.9847077714198323,0.8780922189010719,0.8029786952185618,0.6324635427028208,0.4444877011878351,0.3671932935561859,0.3170424139012507,0.3676047495723031,0.6473014131252632
42,0.8288748341583245,0.960439003724938,0.9071156150947716,0.8561883686812003,0.7625076386499444,0.5453715250480125,0.4497660472206368,0.2407819001229627,0.0842982095736311,0.0542963613263903
43,0.9019741848921916,0.9807217943922932,0.9330861367441982,0.918587212053391,0.872214027820303,0.7133916041289947,0.6565695459071895,0.5667673450857065,0.511950802871721,0.092008188141962
44,0.9746428423694226,0.9807969059574592,0.9828702049407452,0.980073304388498,0.9575894649123144,0.908743937541131,0.871027496994916,0.8176006222816733,0.7782398304088293,0.7326609502942154
45,0.945718113576546,0.9864997498262568,0.9680097161508572,0.9468511414251174,0.9266488185813748,0.8939140229527075,0.8696593592389102,0.8239962418106442,0.7661177453403413,0.4153887474269317
46,0.9475300301604442,0.9491126703013698,0.9474196819399896,0.9417385582693696,0.9274538575539406,0.8217378638157561,0.7867932613592092,0.7446539061033814,0.6851182030320165,0.6050231598968469
47,0.9556043090180424,0.9907450259312246,0.9566633484793924,0.9525197932236212,0.9555908874938668,0.947676846874769,0.939838321138992,0.9078371617372892,0.1070674070381567,0.092765834347285
48,0.4822378430484865,0.96267804907988,0.5071388451168014,0.4856148202447481,0.4853183544853313,0.3743732238542432,0.2827319138107403,0.2478306838560162,0.1915643946763552,0.3074852799600578
49,0.8853327334477686,0.9717043179002328,0.8350491963911871,0.8323591583248948,0.8892336361115041,0.8108720544679134,0.7309135360159964,0.6697555822861118,0.4811179285664134,0.2974535482759169
50,0.8063885257762717,0.9807252531681196,0.8087603098887594,0.8138113285697379,0.8070242376817078,0.7778237573953181,0.6759362976903475,0.6364098394295893,0.5672255492447598,0.1559241336233632
51,0.4320867280675864,9.524324497027024e-17,6.647613315329514e-16,2.1773252944745222e-16,0.3556272665869444,0.2099197256988523,0.2573009046148967,0.2622078204087024,0.2219887054762924,0.2883596642679767
52,0.8676911621170005,0.9776398688853716,0.897972442544242,0.836154295784799,0.8388189846917511,0.8557623908402014,0.8975692857168883,0.9190898902596416,0.9298864874093364,0.7259332862911263
53,0.8509361313922317,0.9276459498632872,0.8825843197370851,0.8432374036420657,0.8117380187446398,0.7119741559411749,0.6797363752411117,0.5898053521499886,0.5314513228460133,0.3541574848920839
54,0.8609424954195201,1.710868596663131e-16,3.209053931243656e-16,3.606989908989835e-16,0.8434949343030873,0.7371688024944365,0.5993382216518773,0.6317787654776652,0.5562307452951792,0.6365145011719259
