topo_num,flow_num,mean,min,p25,p50,p75,p95,p99,p99.9,p99.99,p99.999
58,3,237.0387180295957,40.238,166.65,229.588,297.2,402.7,479.6829999999997,561.6672400000023,661.6807999999214,781.1588700000675
58,4,201.78335573637276,21.325,131.925,193.637,261.225,364.825,442.088,535.7437840000038,628.7518074999855,739.0177248302705
58,5,61.98247897679247,15.462,44.612,58.875,76.087,104.613,127.013,156.36729600000288,190.375,464.43403850470736
58,6,359.26653703003115,52.325,273.75,336.112,422.775,605.8352,749.5000399999994,909.3586960000072,1060.9017499999743,1243.1726740000015
58,7,122.38718341437064,22.137,70.716,110.613,160.413,248.10659999999996,327.89651999999995,436.881671000001,550.350617299977,649.2314882504028
58,8,62.15761182160645,15.663,44.675,59.038,76.4,104.975,127.438,156.463,187.9439827999887,705.3041152800284
58,9,204.18795509758263,19.988,134.3,195.963,263.525,367.41210000000007,445.9,541.7726480000057,642.4964923999812,764.8095187602099
58,10,61.85895352369568,15.312,44.5,58.75,75.938,104.425,126.762,155.562,186.20488659998915,556.7935280901746
58,11,63.53080659414971,13.125,50.213,61.65,74.813,97.65,116.875,143.6,177.1581167999804,225.89939683999492
58,12,94.39871677862016,33.888,69.9,88.225,112.35,157.025,196.443,246.7546640000045,297.95918639998155,363.8152619999826
58,13,270.19722931003423,55.075,198.43725,262.75,332.21275,438.75,514.7971599999993,607.8647830000037,718.6153766999527,950.728186251011
58,14,62.27470255273957,15.663,44.725,59.2,76.55,105.238,127.413,156.012,189.3092687999867,440.0620208810652
58,15,218.01341969066604,54.55,172.525,213.862,258.7,324.55,372.387,429.325,486.3897924998775,541.3669377502986
58,16,268.6823860098025,48.175,197.122,260.9875,330.263,439.2845,518.9392,615.2386250000011,706.9285124999295,966.219953150476
58,17,218.37694400177065,53.975,172.863,214.213,259.025,324.787,372.55,429.95,486.0967949999497,541.7557898201364
58,18,206.443747699566,56.75,160.925,202.925,246.188,313.1277999999997,362.359,425.0644840000105,493.5145799999803,895.3489020000078
58,19,286.7657759933745,23.25,228.6125,275.225,329.275,442.4117,619.8350800000002,789.1495960000027,985.2584207999324,1055.9377890801325
58,20,109.11541627199222,19.9,56.737,95.65,145.825,233.525,310.3638999999999,442.0561100000001,564.7930359999915,5516.42321000003
58,21,53.08970868296898,22.062,36.55,49.138,64.925,89.8,114.14604,150.52380000000167,189.66298459999769,234.22141900020145
58,22,347.20283997766205,53.538,264.875,325.05,405.519,593.15,744.6237000000003,906.8033800000082,1018.6785999998216,1182.7962375000589
58,23,351.1922775826353,49.775,269.5875,331.175,412.6935,587.8863999999999,723.2255000000001,884.147350000001,1026.7917731999464,1196.8688796803774
58,24,268.5059598559208,55.312,196.5,260.425,331.112,439.8724,523.65912,616.2180880000052,688.1320687999853,714.9618261200334
58,25,346.1164153427717,51.463,265.066,324.59400000000005,406.688,588.5926999999998,719.7225000000013,850.1296750000091,972.0000599998616,1103.6811069600014
58,26,54.25775629010165,20.312,37.05,50.7,66.625,94.075,117.47720999999996,148.35417500000196,170.4600649999902,204.92987320996608
58,27,352.6805013331892,51.0,267.628,327.825,414.175,611.722,751.5974999999999,946.5370000000004,1124.3696814998552,1238.810358100143
58,28,197.8269041330354,49.425,145.575,191.9625,242.4,320.4232,377.49889,446.811525000001,508.4092435999969,553.1250163900955
59,0,50.77847910580465,18.987,38.638,49.475,60.3,77.7935,90.35,105.20707000000108,128.87182499999162,167.68499820007514
59,1,406.5282286056472,121.238,318.022,401.281,487.46525,598.7584499999999,670.21118,738.7219590000036,791.9765324999937,846.951338500145
59,2,483.82208501333713,35.025,378.15,450.125,547.762,839.4549999999997,1053.2290399999983,1251.9982000000043,1358.0574603999878,1556.784861080507
59,3,814.7646096545035,64.8,729.569,809.387,895.0315,1030.0,1123.431,1241.97045000003,1432.712749999686,1658.3926559999286
59,4,250.51799255720104,64.163,183.687,247.038,311.863,383.125,428.225,482.425,536.724812799994,613.5430930001196
59,5,486.6333648155875,40.65,376.025,449.65,549.65,870.238,1044.1846,1224.86144,1380.1696559999289,1558.037445600533
59,6,79.98261699927431,35.5,66.087,78.925,92.588,113.438,128.58821999999986,148.8081310000021,179.86191689999976,219.49376028001112
59,7,64.59722314178441,15.987,50.8,61.863,75.275,101.95,124.925,153.487,185.963,253.5754260002524
59,8,228.4308579958248,24.563,144.437,223.425,304.188,402.012,462.563,525.3682920000181,584.7407465999797,672.6444470902104
59,9,250.9927593573289,63.775,184.162,247.487,312.3,383.775,428.9875199999996,483.238,536.2746299999766,608.8037420005537
59,10,403.2179500299276,126.338,316.65,397.85,482.45,593.6801999999999,665.43316,750.4817000000121,807.2457231999972,883.778775160074
59,11,250.82129883509597,64.887,183.987,247.388,312.1,383.3,428.575,483.5,536.2371449999661,611.4127792499476
59,12,251.32539203555436,77.6,184.525,248.4,312.788,383.4898,426.638,479.9872740000002,532.2996124999947,594.8084220199431
59,13,291.5599714140608,69.275,204.40975,286.1505,370.288,472.7237999999999,536.2554700000002,607.9416000000085,662.0445974999877,738.0682522201218
59,14,286.43270620689657,81.175,218.225,282.825,350.53725,431.60125,482.9873800000001,539.4876250000007,598.217013799982,648.841713880118
59,15,134.7771351826989,50.712,109.63725,133.744,159.588,193.31659999999985,214.6622500000001,239.6148210000008,261.78969669999464,276.62513279000075
59,16,61.43910366641756,17.525,47.938,60.575,73.3,92.625,107.212,126.3396200000085,165.06719949996472,231.65422744995357
59,17,801.9560722775738,63.888,718.47825,797.981,883.222,1009.3035,1112.6280000000002,1245.33375,1346.2383749999224,1446.494543750072
